GRID_SIZE;NUM_MINOR_CYCLES;NUM_VISIBILITIES;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
512.0;50.0;1308160.0;true;211;1;172553;0;0;0
1024.0;50.0;1308160.0;true;211;1;178823;0;0;0
1536.0;50.0;1308160.0;true;211;1;189553;0;0;0
2048.0;50.0;1308160.0;true;211;1;205193;0;0;0
2560.0;50.0;1308160.0;true;211;1;226383;0;0;0
512.0;100.0;1308160.0;true;211;1;172553;0;0;0
1024.0;100.0;1308160.0;true;211;1;178823;0;0;0
1536.0;100.0;1308160.0;true;211;1;189553;0;0;0
2048.0;100.0;1308160.0;true;211;1;205193;0;0;0
2560.0;100.0;1308160.0;true;211;1;226383;0;0;0
512.0;150.0;1308160.0;true;211;1;172553;0;0;0
1024.0;150.0;1308160.0;true;211;1;178823;0;0;0
1536.0;150.0;1308160.0;true;211;1;189553;0;0;0
2048.0;150.0;1308160.0;true;211;1;205193;0;0;0
2560.0;150.0;1308160.0;true;211;1;226383;0;0;0
512.0;200.0;1308160.0;true;211;1;172553;0;0;0
1024.0;200.0;1308160.0;true;211;1;178823;0;0;0
1536.0;200.0;1308160.0;true;211;1;189553;0;0;0
2048.0;200.0;1308160.0;true;211;1;205193;0;0;0
2560.0;200.0;1308160.0;true;211;1;226383;0;0;0
512.0;250.0;1308160.0;true;211;1;172553;0;0;0
1024.0;250.0;1308160.0;true;211;1;178823;0;0;0
1536.0;250.0;1308160.0;true;211;1;189553;0;0;0
2048.0;250.0;1308160.0;true;211;1;205193;0;0;0
2560.0;250.0;1308160.0;true;211;1;226383;0;0;0
512.0;50.0;1962240.0;true;211;1;175953;0;0;0
1024.0;50.0;1962240.0;true;211;1;182223;0;0;0
1536.0;50.0;1962240.0;true;211;1;192953;0;0;0
2048.0;50.0;1962240.0;true;211;1;208593;0;0;0
2560.0;50.0;1962240.0;true;211;1;229783;0;0;0
512.0;100.0;1962240.0;true;211;1;175953;0;0;0
1024.0;100.0;1962240.0;true;211;1;182223;0;0;0
1536.0;100.0;1962240.0;true;211;1;192953;0;0;0
2048.0;100.0;1962240.0;true;211;1;208593;0;0;0
2560.0;100.0;1962240.0;true;211;1;229783;0;0;0
512.0;150.0;1962240.0;true;211;1;175953;0;0;0
1024.0;150.0;1962240.0;true;211;1;182223;0;0;0
1536.0;150.0;1962240.0;true;211;1;192953;0;0;0
2048.0;150.0;1962240.0;true;211;1;208593;0;0;0
2560.0;150.0;1962240.0;true;211;1;229783;0;0;0
512.0;200.0;1962240.0;true;211;1;175953;0;0;0
1024.0;200.0;1962240.0;true;211;1;182223;0;0;0
1536.0;200.0;1962240.0;true;211;1;192953;0;0;0
2048.0;200.0;1962240.0;true;211;1;208593;0;0;0
2560.0;200.0;1962240.0;true;211;1;229783;0;0;0
512.0;250.0;1962240.0;true;211;1;175953;0;0;0
1024.0;250.0;1962240.0;true;211;1;182223;0;0;0
1536.0;250.0;1962240.0;true;211;1;192953;0;0;0
2048.0;250.0;1962240.0;true;211;1;208593;0;0;0
2560.0;250.0;1962240.0;true;211;1;229783;0;0;0
512.0;50.0;2616320.0;true;211;1;179368;0;0;0
1024.0;50.0;2616320.0;true;211;1;185638;0;0;0
1536.0;50.0;2616320.0;true;211;1;196368;0;0;0
2048.0;50.0;2616320.0;true;211;1;212008;0;0;0
2560.0;50.0;2616320.0;true;211;1;233198;0;0;0
512.0;100.0;2616320.0;true;211;1;179368;0;0;0
1024.0;100.0;2616320.0;true;211;1;185638;0;0;0
1536.0;100.0;2616320.0;true;211;1;196368;0;0;0
2048.0;100.0;2616320.0;true;211;1;212008;0;0;0
2560.0;100.0;2616320.0;true;211;1;233198;0;0;0
512.0;150.0;2616320.0;true;211;1;179368;0;0;0
1024.0;150.0;2616320.0;true;211;1;185638;0;0;0
1536.0;150.0;2616320.0;true;211;1;196368;0;0;0
2048.0;150.0;2616320.0;true;211;1;212008;0;0;0
2560.0;150.0;2616320.0;true;211;1;233198;0;0;0
512.0;200.0;2616320.0;true;211;1;179368;0;0;0
1024.0;200.0;2616320.0;true;211;1;185638;0;0;0
1536.0;200.0;2616320.0;true;211;1;196368;0;0;0
2048.0;200.0;2616320.0;true;211;1;212008;0;0;0
2560.0;200.0;2616320.0;true;211;1;233198;0;0;0
512.0;250.0;2616320.0;true;211;1;179368;0;0;0
1024.0;250.0;2616320.0;true;211;1;185638;0;0;0
1536.0;250.0;2616320.0;true;211;1;196368;0;0;0
2048.0;250.0;2616320.0;true;211;1;212008;0;0;0
2560.0;250.0;2616320.0;true;211;1;233198;0;0;0
512.0;50.0;3270400.0;true;211;1;182788;0;0;0
1024.0;50.0;3270400.0;true;211;1;189058;0;0;0
1536.0;50.0;3270400.0;true;211;1;199788;0;0;0
2048.0;50.0;3270400.0;true;211;1;215428;0;0;0
2560.0;50.0;3270400.0;true;211;1;236618;0;0;0
512.0;100.0;3270400.0;true;211;1;182788;0;0;0
1024.0;100.0;3270400.0;true;211;1;189058;0;0;0
1536.0;100.0;3270400.0;true;211;1;199788;0;0;0
2048.0;100.0;3270400.0;true;211;1;215428;0;0;0
2560.0;100.0;3270400.0;true;211;1;236618;0;0;0
512.0;150.0;3270400.0;true;211;1;182788;0;0;0
1024.0;150.0;3270400.0;true;211;1;189058;0;0;0
1536.0;150.0;3270400.0;true;211;1;199788;0;0;0
2048.0;150.0;3270400.0;true;211;1;215428;0;0;0
2560.0;150.0;3270400.0;true;211;1;236618;0;0;0
512.0;200.0;3270400.0;true;211;1;182788;0;0;0
1024.0;200.0;3270400.0;true;211;1;189058;0;0;0
1536.0;200.0;3270400.0;true;211;1;199788;0;0;0
2048.0;200.0;3270400.0;true;211;1;215428;0;0;0
2560.0;200.0;3270400.0;true;211;1;236618;0;0;0
512.0;250.0;3270400.0;true;211;1;182788;0;0;0
1024.0;250.0;3270400.0;true;211;1;189058;0;0;0
1536.0;250.0;3270400.0;true;211;1;199788;0;0;0
2048.0;250.0;3270400.0;true;211;1;215428;0;0;0
2560.0;250.0;3270400.0;true;211;1;236618;0;0;0
512.0;50.0;3924480.0;true;211;1;186183;0;0;0
1024.0;50.0;3924480.0;true;211;1;192453;0;0;0
1536.0;50.0;3924480.0;true;211;1;203183;0;0;0
2048.0;50.0;3924480.0;true;211;1;218823;0;0;0
2560.0;50.0;3924480.0;true;211;1;240013;0;0;0
512.0;100.0;3924480.0;true;211;1;186183;0;0;0
1024.0;100.0;3924480.0;true;211;1;192453;0;0;0
1536.0;100.0;3924480.0;true;211;1;203183;0;0;0
2048.0;100.0;3924480.0;true;211;1;218823;0;0;0
2560.0;100.0;3924480.0;true;211;1;240013;0;0;0
512.0;150.0;3924480.0;true;211;1;186183;0;0;0
1024.0;150.0;3924480.0;true;211;1;192453;0;0;0
1536.0;150.0;3924480.0;true;211;1;203183;0;0;0
2048.0;150.0;3924480.0;true;211;1;218823;0;0;0
2560.0;150.0;3924480.0;true;211;1;240013;0;0;0
512.0;200.0;3924480.0;true;211;1;186183;0;0;0
1024.0;200.0;3924480.0;true;211;1;192453;0;0;0
1536.0;200.0;3924480.0;true;211;1;203183;0;0;0
2048.0;200.0;3924480.0;true;211;1;218823;0;0;0
2560.0;200.0;3924480.0;true;211;1;240013;0;0;0
512.0;250.0;3924480.0;true;211;1;186183;0;0;0
1024.0;250.0;3924480.0;true;211;1;192453;0;0;0
1536.0;250.0;3924480.0;true;211;1;203183;0;0;0
2048.0;250.0;3924480.0;true;211;1;218823;0;0;0
2560.0;250.0;3924480.0;true;211;1;240013;0;0;0
