Filename,Best Degree,Best RMSE,Coefficients,Average
degrid_timings,4,193.09023252748491,max(0,-810.399374 + 0.000072 * GRID_SIZE + 2.592997 * NUM_VISIBILITIES^2 -0.000000 * GRID_SIZE^3 -0.002533 * NUM_VISIBILITIES^3 + 0.000001 * GRID_SIZE^2 * NUM_VISIBILITIES^2),111.696
dft_timings,6,12047.222673189282,max(0,268294.806822 -0.115718 * NUM_MAX_SOURCES -1647.204656 * NUM_MAX_SOURCES^2 * NUM_VISIBILITIES -0.000595 * NUM_MAX_SOURCES * NUM_VISIBILITIES^2 + 40.844782 * NUM_MAX_SOURCES * NUM_VISIBILITIES^3 -0.000002 * NUM_VISIBILITIES^4 -0.254061 * NUM_MAX_SOURCES^2 * NUM_VISIBILITIES^3 + 0.000793 * NUM_MAX_SOURCES^5 * NUM_VISIBILITIES -0.000001 * NUM_MAX_SOURCES^2 * NUM_VISIBILITIES^4),42343.692500000005
grid_timings,4,63.59746264741309,max(0,-319.668032 + 0.000167 * GRID_SIZE -0.013731 * NUM_VISIBILITIES^2 + 0.000068 * NUM_VISIBILITIES^3),78.972
